step,reward,eval_type,seed
250112,0.0,pi,1
250112,0.8,mppi,1
500224,0.0,pi,1
500224,0.0,mppi,1
750080,1.3,pi,1
750080,1.8,mppi,1
1000192,0.0,pi,1
1000192,0.0,mppi,1
1250048,0.9,pi,1
1250048,0.7,mppi,1
1500160,5.7,pi,1
1500160,6.6,mppi,1
1750016,1.2,pi,1
1750016,0.3,mppi,1
2000128,0.0,pi,1
2000128,3.5,mppi,1
2250240,73.0,pi,1
2250240,192.6,mppi,1
2500096,76.3,pi,1
2500096,142.5,mppi,1
2750208,77.9,pi,1
2750208,68.4,mppi,1
3000064,14.4,pi,1
3000064,0.0,mppi,1
3250176,39.3,pi,1
3250176,73.9,mppi,1
3500032,127.2,pi,1
3500032,70.5,mppi,1
3750144,82.9,pi,1
3750144,72.5,mppi,1
4000000,166.8,pi,1
4000000,147.5,mppi,1
4250112,117.5,pi,1
4250112,143.0,mppi,1
4500224,157.5,pi,1
4500224,220.5,mppi,1
4750080,74.8,pi,1
4750080,79.6,mppi,1
5000192,143.7,pi,1
5000192,249.3,mppi,1
5250048,133.8,pi,1
5250048,172.7,mppi,1
5500160,146.2,pi,1
5500160,86.9,mppi,1
5750016,147.3,pi,1
5750016,173.8,mppi,1
6000128,46.5,pi,1
6000128,172.9,mppi,1
6250240,177.3,pi,1
6250240,173.7,mppi,1
6500096,240.4,pi,1
6500096,266.3,mppi,1
6750208,188.5,pi,1
6750208,88.6,mppi,1
7000064,131.0,pi,1
7000064,76.9,mppi,1
7250176,133.4,pi,1
7250176,176.9,mppi,1
7500032,140.0,pi,1
7500032,271.0,mppi,1
7750144,236.4,pi,1
7750144,87.3,mppi,1
8000000,187.0,pi,1
8000000,88.2,mppi,1
8250112,186.3,pi,1
8250112,160.2,mppi,1
8500224,180.2,pi,1
8500224,169.9,mppi,1
8750080,147.6,pi,1
8750080,255.2,mppi,1
9000192,192.8,pi,1
9000192,163.8,mppi,1
9250048,199.7,pi,1
9250048,256.2,mppi,1
9500160,249.0,pi,1
9500160,269.9,mppi,1
9750016,49.8,pi,1
9750016,179.2,mppi,1
10000128,91.4,pi,1
10000128,171.4,mppi,1
