step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,3,0.8076,0.9978,0.6,0.0
50176,mppi,3,0.1590,1.0000,0.0,0.0
100096,pi,3,0.9352,1.0000,0.0,0.0
100096,mppi,3,0.9307,1.0000,0.0,0.0
150016,pi,3,1.0000,1.0000,0.0,0.0
150016,mppi,3,0.6447,1.0000,0.0,0.0
200192,pi,3,1.0000,1.0000,0.0,0.0
200192,mppi,3,0.6340,0.9140,0.3333333333333333,0.0
250112,pi,3,1.0000,1.0000,0.0,0.0
250112,mppi,3,0.5220,1.0000,0.0,0.0
300032,pi,3,1.0000,1.0000,0.0,0.0
300032,mppi,3,1.0000,1.0000,0.0,0.0
350208,pi,3,1.0000,1.0000,0.0,0.0
350208,mppi,3,1.0000,1.0000,0.0,0.0
400128,pi,3,1.0000,1.0000,0.0,0.0
400128,mppi,3,1.0000,1.0000,0.0,0.0
450048,pi,3,1.0000,1.0000,0.0,0.0
450048,mppi,3,0.7273,1.0000,0.0,0.0
500224,pi,3,1.0000,1.0000,0.0,0.0
500224,mppi,3,0.0277,1.0000,0.0,0.0
