step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
50176,pi,4,0.0000,0.0000,0.0,1000.0
50176,mppi,4,0.0000,0.0000,0.0,1000.0
100096,pi,4,0.0000,0.0000,0.0,1000.0
100096,mppi,4,0.0010,0.0010,0.3333333333333333,844.6666666666666
150016,pi,4,0.0000,0.0000,0.0,1000.0
150016,mppi,4,0.0000,0.0000,0.0,1000.0
200192,pi,4,0.0000,0.0000,0.0,1000.0
200192,mppi,4,0.0000,0.0000,0.0,1000.0
250112,pi,4,0.0000,0.0000,0.0,1000.0
250112,mppi,4,0.0013,0.0013,1.0,727.0
300032,pi,4,0.0000,0.0000,0.0,1000.0
300032,mppi,4,0.0013,0.0013,1.0,696.6666666666666
350208,pi,4,0.0000,0.0000,0.0,1000.0
350208,mppi,4,0.0000,0.0000,0.0,1000.0
400128,pi,4,0.0000,0.0000,0.0,1000.0
400128,mppi,4,0.0000,0.0000,0.0,1000.0
450048,pi,4,0.0000,0.0000,0.0,1000.0
450048,mppi,4,0.0010,0.0010,0.3333333333333333,872.6666666666666
