step,reward,eval_type,seed
250112,2.3,pi,8
250112,0.0,mppi,8
500224,0.4,pi,8
500224,1.1,mppi,8
750080,2.0,pi,8
750080,1.0,mppi,8
1000192,0.0,pi,8
1000192,2.6,mppi,8
1250048,47.4,pi,8
1250048,8.8,mppi,8
1500160,0.0,pi,8
1500160,1.1,mppi,8
1750016,4.9,pi,8
1750016,9.5,mppi,8
2000128,110.5,pi,8
2000128,195.6,mppi,8
2250240,0.0,pi,8
2250240,0.0,mppi,8
2500096,17.1,pi,8
2500096,22.2,mppi,8
2750208,311.4,pi,8
2750208,372.1,mppi,8
3000064,304.9,pi,8
3000064,350.4,mppi,8
3250176,131.1,pi,8
3250176,226.7,mppi,8
3500032,0.5,pi,8
3500032,17.4,mppi,8
3750144,323.0,pi,8
3750144,120.9,mppi,8
4000000,343.9,pi,8
4000000,432.6,mppi,8
4250112,369.3,pi,8
4250112,400.7,mppi,8
4500224,37.3,pi,8
4500224,396.3,mppi,8
4750080,352.6,pi,8
4750080,446.4,mppi,8
5000192,384.7,pi,8
5000192,436.0,mppi,8
5250048,373.7,pi,8
5250048,358.9,mppi,8
5500160,429.6,pi,8
5500160,442.1,mppi,8
5750016,413.7,pi,8
5750016,479.4,mppi,8
6000128,435.4,pi,8
6000128,488.0,mppi,8
6250240,440.3,pi,8
6250240,443.1,mppi,8
6500096,472.3,pi,8
6500096,466.5,mppi,8
6750208,494.6,pi,8
6750208,461.5,mppi,8
7000064,475.6,pi,8
7000064,486.5,mppi,8
7250176,487.9,pi,8
7250176,476.6,mppi,8
7500032,496.1,pi,8
7500032,482.9,mppi,8
7750144,468.1,pi,8
7750144,500.9,mppi,8
8000000,474.3,pi,8
8000000,445.9,mppi,8
8250112,492.8,pi,8
8250112,521.2,mppi,8
8500224,509.3,pi,8
8500224,450.3,mppi,8
8750080,461.1,pi,8
8750080,524.8,mppi,8
9000192,438.7,pi,8
9000192,495.3,mppi,8
9250048,479.6,pi,8
9250048,516.8,mppi,8
9500160,489.4,pi,8
9500160,517.2,mppi,8
9750016,483.0,pi,8
9750016,520.3,mppi,8
10000128,462.3,pi,8
10000128,519.1,mppi,8
