step,eval_type,seed,full_reward_rate,standing_rate,fall_count,time_to_first_full
250112,pi,1,0.0102,0.0398,1.4,276.6
250112,mppi,1,0.0071,0.0200,0.75,420.625
500224,pi,1,0.2616,0.3540,12.6,71.8
500224,mppi,1,0.2780,0.3111,13.375,58.375
750080,pi,1,0.3234,0.3570,14.4,64.6
750080,mppi,1,0.3105,0.3230,15.0,61.625
1000192,pi,1,0.3410,0.3688,15.2,50.0
1000192,mppi,1,0.3084,0.3234,15.0,63.375
1250048,pi,1,0.3498,0.3668,14.6,54.0
1250048,mppi,1,0.3379,0.3490,14.875,53.375
1500160,pi,1,0.3458,0.3720,14.0,59.0
1500160,mppi,1,0.3561,0.3686,14.125,47.25
1750016,pi,1,0.3532,0.3774,14.0,57.4
1750016,mppi,1,0.3715,0.3935,14.0,54.125
2000128,pi,1,0.3494,0.3596,14.4,48.0
2000128,mppi,1,0.3752,0.3925,14.625,41.625
2250240,pi,1,0.3634,0.3928,14.2,48.0
2250240,mppi,1,0.3735,0.3886,14.0,51.625
